Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
03-03-2026,07:27,02-03-2026,,,Comisión por Acción Corporativa,,USD,"-0,67",USD,"6,03",
03-03-2026,07:23,02-03-2026,ESSENTIAL UTILITIES INC,US29670G1022,Dividendo,,USD,"7,88",USD,"6,70",
03-03-2026,07:23,02-03-2026,ESSENTIAL UTILITIES INC,US29670G1022,Retención del dividendo,,USD,"-1,18",USD,"-1,18",
03-03-2026,06:35,02-03-2026,,,Ingreso Cambio de Divisa,,EUR,"10,57",EUR,"552,96",
03-03-2026,06:35,02-03-2026,,,Retirada Cambio de Divisa,"1,1718",USD,"-12,39",USD,"0,00",
02-03-2026,07:48,27-02-2026,,,Comisión por Acción Corporativa,,USD,"-1,38",USD,"12,39",
02-03-2026,07:47,27-02-2026,SIRIUS XM HOLDINGS INC,US8299331004,Dividendo,,USD,"16,20",USD,"13,77",
02-03-2026,07:47,27-02-2026,SIRIUS XM HOLDINGS INC,US8299331004,Retención del dividendo,,USD,"-2,43",USD,"-2,43",
27-02-2026,17:55,27-02-2026,,,Degiro Cash Sweep Transfer,,EUR,"-0,25",EUR,"542,39",
27-02-2026,17:55,27-02-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,25 EUR",,,,EUR,"542,64",
27-02-2026,16:02,27-02-2026,,,Ingresos por Préstamo de Valores - Enero,,EUR,"0,25",EUR,"542,39",
23-02-2026,19:23,23-02-2026,,,Degiro Cash Sweep Transfer,,EUR,"15,00",EUR,"542,14",
23-02-2026,19:23,23-02-2026,,,Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 15 EUR,,,,EUR,"527,14",
23-02-2026,10:43,31-01-2026,,,Comisión de conectividad con el mercado 2026 (New York Stock Exchange - NSY),,EUR,"-2,50",EUR,"542,14",
23-02-2026,10:43,31-01-2026,,,Comisión de conectividad con el mercado 2026 (Nasdaq - NDQ),,EUR,"-2,50",EUR,"544,64",
23-02-2026,10:43,31-01-2026,,,Comisión de conectividad con el mercado 2026 (London Stock Exchange (LSE) - LSE),,EUR,"-2,50",EUR,"547,14",
23-02-2026,10:43,31-01-2026,,,Comisión de conectividad con el mercado 2026 (Nasdaq Copenhagen AB - OMK),,EUR,"-2,50",EUR,"549,64",
23-02-2026,10:43,31-01-2026,,,Comisión de conectividad con el mercado 2026 (Tradegate AG - TDG),,EUR,"-2,50",EUR,"552,14",
23-02-2026,10:43,31-01-2026,,,Comisión de conectividad con el mercado 2026 (Xetra - XET),,EUR,"-2,50",EUR,"554,64",
20-02-2026,17:42,20-02-2026,,,Degiro Cash Sweep Transfer,,EUR,"-517,01",EUR,"557,14",
20-02-2026,17:42,20-02-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 517,01 EUR",,,,EUR,"1074,15",
20-02-2026,16:26,20-02-2026,BANK OF NOVA SCOTIA,CA0641491075,Retirada Cambio de Divisa,"1,1822",USD,"-613,60",USD,"0,00",d46cc1c1-826f-41ae-ada8-5d4fd90a88d9
20-02-2026,16:26,20-02-2026,BANK OF NOVA SCOTIA,CA0641491075,Ingreso Cambio de Divisa,,EUR,"519,01",EUR,"557,14",d46cc1c1-826f-41ae-ada8-5d4fd90a88d9
20-02-2026,16:26,20-02-2026,BANK OF NOVA SCOTIA,CA0641491075,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"38,13",d46cc1c1-826f-41ae-ada8-5d4fd90a88d9
20-02-2026,16:26,20-02-2026,BANK OF NOVA SCOTIA,CA0641491075,"Venta 8 Bank of Nova Scotia@76,7 USD (CA0641491075)",,USD,"613,60",USD,"613,60",d46cc1c1-826f-41ae-ada8-5d4fd90a88d9
17-02-2026,07:44,17-02-2026,,,Degiro Cash Sweep Transfer,,EUR,"-13,30",EUR,"40,13",
17-02-2026,07:44,17-02-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 13,3 EUR",,,,EUR,"53,43",
17-02-2026,06:37,16-02-2026,,,Ingreso Cambio de Divisa,,EUR,"13,30",EUR,"40,13",
17-02-2026,06:37,16-02-2026,,,Retirada Cambio de Divisa,"1,1881",USD,"-15,80",USD,"0,00",
16-02-2026,10:40,13-02-2026,MAIN STREET CAPITAL CORP,US56035L1044,Dividendo sustitutivo,,USD,"1,82",USD,"15,80",
16-02-2026,10:40,13-02-2026,MAIN STREET CAPITAL CORP,US56035L1044,Impuesto sustitutivo sobre Dividendos,,USD,"-0,27",USD,"13,98",
16-02-2026,10:40,13-02-2026,MAIN STREET CAPITAL CORP,US56035L1044,Retención del dividendo,,USD,"0,27",USD,"14,25",
16-02-2026,10:40,13-02-2026,,,Comisión por Acción Corporativa,,USD,"0,16",USD,"13,98",
16-02-2026,10:39,13-02-2026,MAIN STREET CAPITAL CORP,US56035L1044,Dividendo,,USD,"-1,82",USD,"13,82",
16-02-2026,07:15,13-02-2026,,,Comisión por Acción Corporativa,,USD,"-0,46",USD,"15,64",
16-02-2026,07:15,13-02-2026,,,Comisión por Acción Corporativa,,USD,"-0,16",USD,"16,10",
16-02-2026,07:14,13-02-2026,NNN REIT INC,US6374171063,Dividendo,,USD,"5,40",USD,"16,26",
16-02-2026,07:14,13-02-2026,NNN REIT INC,US6374171063,Retención del dividendo,,USD,"-0,81",USD,"10,86",
16-02-2026,07:14,13-02-2026,MAIN STREET CAPITAL CORP,US56035L1044,Dividendo,,USD,"1,82",USD,"11,67",
16-02-2026,07:14,13-02-2026,MAIN STREET CAPITAL CORP,US56035L1044,Retención del dividendo,,USD,"-0,27",USD,"9,85",
16-02-2026,07:01,13-02-2026,,,Comisión por Acción Corporativa,,USD,"-1,13",USD,"10,12",
16-02-2026,07:01,13-02-2026,REALTY INCOME CORP,US7561091049,Retención del dividendo,,USD,"-1,98",USD,"11,25",
16-02-2026,07:00,13-02-2026,REALTY INCOME CORP,US7561091049,Dividendo,,USD,"13,23",USD,"13,23",
04-02-2026,07:40,04-02-2026,,,Degiro Cash Sweep Transfer,,EUR,"-4,45",EUR,"26,83",
04-02-2026,07:40,04-02-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 4,45 EUR",,,,EUR,"31,28",
04-02-2026,06:34,03-02-2026,,,Ingreso Cambio de Divisa,,EUR,"4,45",EUR,"26,83",
04-02-2026,06:34,03-02-2026,,,Retirada Cambio de Divisa,"1,1848",USD,"-5,27",USD,"0,00",
03-02-2026,06:53,02-02-2026,,,Comisión por Acción Corporativa,,USD,"-0,59",USD,"5,27",
03-02-2026,06:53,02-02-2026,VERIZON COMMUNICATIONS INC,US92343V1044,Dividendo,,USD,"6,90",USD,"5,86",
03-02-2026,06:53,02-02-2026,VERIZON COMMUNICATIONS INC,US92343V1044,Retención del dividendo,,USD,"-1,04",USD,"-1,04",
30-01-2026,07:53,30-01-2026,,,Degiro Cash Sweep Transfer,,EUR,"-3,67",EUR,"22,38",
30-01-2026,07:53,30-01-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 3,67 EUR",,,,EUR,"26,05",
30-01-2026,06:33,29-01-2026,,,Ingreso Cambio de Divisa,,EUR,"3,67",EUR,"22,38",
30-01-2026,06:33,29-01-2026,,,Retirada Cambio de Divisa,"1,6188",CAD,"-5,94",CAD,"0,00",
29-01-2026,20:53,29-01-2026,,,Degiro Cash Sweep Transfer,,EUR,"746,19",EUR,"18,71",
29-01-2026,20:53,29-01-2026,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 746,19 EUR",,,,EUR,"-727,48",
29-01-2026,15:33,29-01-2026,SILA REALTY TRUST INC,US1462805086,Ingreso Cambio de Divisa,"1,1932",USD,"840,00",USD,"0,00",6c773b20-61b5-4bc7-845e-b530fab1edcf
29-01-2026,15:33,29-01-2026,SILA REALTY TRUST INC,US1462805086,Retirada Cambio de Divisa,,EUR,"-703,98",EUR,"18,71",6c773b20-61b5-4bc7-845e-b530fab1edcf
29-01-2026,15:33,29-01-2026,SILA REALTY TRUST INC,US1462805086,Compra 35 Sila Realty Trust Inc@24 USD (US1462805086),,USD,"-840,00",USD,"-840,00",6c773b20-61b5-4bc7-845e-b530fab1edcf
29-01-2026,15:30,29-01-2026,SILA REALTY TRUST INC,US1462805086,Ingreso Cambio de Divisa,"1,1936",USD,"48,00",USD,"0,00",6c773b20-61b5-4bc7-845e-b530fab1edcf
29-01-2026,15:30,29-01-2026,SILA REALTY TRUST INC,US1462805086,Retirada Cambio de Divisa,,EUR,"-40,21",EUR,"722,69",6c773b20-61b5-4bc7-845e-b530fab1edcf
29-01-2026,15:30,29-01-2026,SILA REALTY TRUST INC,US1462805086,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"762,90",6c773b20-61b5-4bc7-845e-b530fab1edcf
29-01-2026,15:30,29-01-2026,SILA REALTY TRUST INC,US1462805086,Compra 2 Sila Realty Trust Inc@24 USD (US1462805086),,USD,"-48,00",USD,"-48,00",6c773b20-61b5-4bc7-845e-b530fab1edcf
29-01-2026,07:16,28-01-2026,,,Comisión por Acción Corporativa,,CAD,"-0,66",CAD,"5,94",
29-01-2026,07:15,28-01-2026,BANK OF NOVA SCOTIA,CA0641491075,Retención del dividendo,,CAD,"-2,20",CAD,"6,60",
29-01-2026,07:15,28-01-2026,BANK OF NOVA SCOTIA,CA0641491075,Dividendo,,CAD,"8,80",CAD,"8,80",
27-01-2026,20:30,27-01-2026,,,Degiro Cash Sweep Transfer,,EUR,"3343,90",EUR,"764,90",
27-01-2026,20:30,27-01-2026,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 3.343,9 EUR",,,,EUR,"-2579,00",
27-01-2026,19:50,27-01-2026,CONSTELLATION SOFTWARE INC,CA21037X1006,Costes de transacción y/o externos de DEGIRO,,EUR,"-3,90",EUR,"764,90",24e54e42-1b29-4782-a9bf-9ec0702a4bea
27-01-2026,19:50,27-01-2026,CONSTELLATION SOFTWARE INC,CA21037X1006,Compra 2 Constellation Software Inc@1.670 EUR (CA21037X1006),,EUR,"-3340,00",EUR,"768,80",24e54e42-1b29-4782-a9bf-9ec0702a4bea
23-01-2026,18:21,23-01-2026,,,Degiro Cash Sweep Transfer,,EUR,"-937,99",EUR,"4108,80",
23-01-2026,18:21,23-01-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 937,99 EUR",,,,EUR,"5046,79",
23-01-2026,15:41,23-01-2026,SKY HARBOUR GROUP CORP CLASS A,US83085C1071,Retirada Cambio de Divisa,"1,1772",USD,"-591,48",USD,"0,00",62987939-346d-429a-930e-1832089d0317
23-01-2026,15:41,23-01-2026,SKY HARBOUR GROUP CORP CLASS A,US83085C1071,Ingreso Cambio de Divisa,,EUR,"502,43",EUR,"4108,80",62987939-346d-429a-930e-1832089d0317
23-01-2026,15:41,23-01-2026,SKY HARBOUR GROUP CORP CLASS A,US83085C1071,"Venta 62 Sky Harbour Group Corp Class A@9,54 USD (US83085C1071)",,USD,"591,48",USD,"591,48",62987939-346d-429a-930e-1832089d0317
23-01-2026,15:36,23-01-2026,SKY HARBOUR GROUP CORP CLASS A,US83085C1071,Retirada Cambio de Divisa,"1,1773",USD,"-515,16",USD,"0,00",62987939-346d-429a-930e-1832089d0317
